musteri_id,yaş,gelir,abonelik_suresi,destek_talebi_sayisi,şehir,üyelik_tipi,churn
1,25,74048,25,1,Ankara,Temel,0
2,58,49395,47,3,Ankara,Temel,0
3,52,23739,18,6,Adana,Standart,1
4,38,96878,47,2,Ankara,Premium,0
5,34,93392,31,2,Konya,Standart,0
6,25,46898,4,8,Antalya,Standart,1
7,22,52108,18,4,Bursa,Premium,1
8,38,45700,19,6,Ankara,Standart,1
9,42,48458,64,1,Bursa,Premium,0
10,43,32659,12,8,İzmir,Temel,1
11,67,,48,5,Adana,Standart,0
12,49,46867,9,6,Konya,Standart,1
13,27,68021,62,0,Bursa,Premium,0
14,33,42622,7,10,Adana,Temel,1
15,40,56301,25,5,İzmir,Premium,0
16,51,114484,35,2,İstanbul,Standart,0
17,29,44175,65,0,İstanbul,Standart,0
18,51,46326,34,3,Bursa,Premium,0
19,59,39504,53,5,Antalya,Temel,0
20,65,82587,17,2,Bursa,Standart,0
21,36,54806,25,5,Ankara,Temel,1
22,43,104540,48,1,Konya,Standart,0
23,53,22037,20,8,Ankara,Temel,1
24,43,69385,13,1,,Premium,0
25,51,26535,25,5,Bursa,Temel,1
26,34,72741,43,4,İstanbul,Standart,0
27,70,64365,55,2,Adana,Standart,0
28,52,105839,38,0,Ankara,Standart,0
29,57,37080,19,6,Adana,Temel,1
30,38,46834,67,0,Ankara,Premium,0
31,41,101624,23,4,Antalya,Temel,0
32,39,99993,61,3,Ankara,Standart,0
33,46,93519,36,3,Ankara,Premium,0
34,65,50899,13,3,Konya,Premium,0
35,39,63112,22,4,Bursa,Standart,0
36,49,38371,3,10,Konya,Standart,1
37,27,108855,63,0,Konya,Premium,0
38,34,91269,41,3,Bursa,Standart,0
39,,87672,10,3,Konya,Standart,0
40,42,93444,54,5,Antalya,Premium,0
41,55,58289,22,2,Ankara,Standart,0
42,58,45989,57,2,Antalya,Temel,0
43,57,58635,13,4,İstanbul,Temel,0
44,24,37414,13,4,Antalya,Premium,1
45,22,27372,14,8,İstanbul,Premium,1
46,44,69285,26,3,Adana,Temel,0
47,40,26754,1,10,Antalya,Standart,1
48,28,108468,23,4,İzmir,Standart,0
49,39,86434,28,1,Antalya,Standart,0
50,63,107329,10,5,İzmir,Premium,0
51,30,55601,26,0,Adana,Premium,0
52,41,74930,48,1,İstanbul,Premium,0
53,40,104244,41,2,Konya,Premium,0
54,47,40132,2,3,İstanbul,Temel,1
55,40,59178,57,3,Bursa,Premium,0
56,31,47862,70,5,Antalya,Premium,0
57,43,31705,14,5,İzmir,Temel,1
58,26,84898,,5,Ankara,Standart,0
59,55,48632,20,5,İstanbul,Premium,1
60,35,92040,11,1,İzmir,Premium,0
61,50,70527,27,1,Ankara,Premium,0
62,22,52847,8,6,Bursa,Standart,1
63,34,36609,1,6,İzmir,Temel,1
64,41,84025,51,4,Konya,Standart,0
65,25,53118,66,2,İzmir,Standart,0
66,47,44654,24,8,Antalya,Temel,1
67,56,34457,9,3,Ankara,Standart,1
68,58,63825,33,3,Adana,Temel,0
69,63,79145,52,0,İzmir,Premium,0
70,66,91528,30,3,Antalya,Premium,0
71,46,46847,22,5,İzmir,Standart,1
72,20,41914,10,6,Antalya,,1
73,44,98946,38,3,Antalya,Premium,0
74,34,49114,28,4,Antalya,Premium,0
75,35,42343,8,6,Ankara,Temel,1
76,50,26772,15,9,Antalya,Standart,1
77,44,54399,13,6,Adana,Temel,1
78,26,49862,8,5,Adana,Standart,1
79,27,111060,25,0,Konya,Standart,0
80,57,111259,48,2,Bursa,Premium,0
81,70,104162,37,4,İstanbul,Standart,0
82,54,96991,26,1,İzmir,Premium,0
83,57,101517,50,1,Ankara,Standart,0
84,39,73614,31,2,Ankara,Premium,0
85,34,47102,23,5,Ankara,Standart,1
86,41,57560,15,9,Konya,Temel,1
87,61,40560,64,4,Ankara,Standart,0
88,43,89116,64,3,Adana,Standart,0
89,62,66906,41,1,Bursa,Standart,0
90,41,48497,24,5,İstanbul,Standart,1
91,58,41534,68,3,Adana,Premium,0
92,47,30893,15,5,Bursa,Temel,1
93,49,43420,11,9,Konya,Temel,1
94,29,99644,11,5,İzmir,Standart,0
95,24,24638,25,3,İstanbul,Premium,1
96,63,57973,25,,Ankara,Standart,0
97,37,98952,54,2,İstanbul,Premium,0
98,69,53012,59,1,Ankara,Premium,0
99,43,113470,53,3,Adana,Standart,0
100,57,37915,4,7,Antalya,Standart,1
101,60,43383,32,4,İzmir,Standart,0
102,41,22829,14,10,İzmir,Temel,1
103,53,58052,37,1,Adana,Premium,0
104,54,53686,15,9,Antalya,Standart,1
105,35,27679,9,10,Bursa,Temel,1
106,66,87674,31,0,İzmir,Standart,0
107,33,45253,26,7,Antalya,Temel,1
108,41,110848,10,4,Ankara,Premium,0
109,46,54019,18,6,Adana,Standart,1
110,52,40260,15,2,Adana,Standart,0
111,57,46184,16,8,Adana,Temel,1
112,46,97473,27,2,Ankara,Standart,0
113,44,53670,57,4,Adana,Premium,0
114,33,53732,9,7,Konya,Premium,1
115,34,45650,6,7,Antalya,Temel,1
116,22,25573,18,7,İstanbul,Standart,1
117,55,51446,65,0,Bursa,Premium,0
118,45,,71,0,Konya,Standart,0
119,28,90521,41,0,Adana,Premium,0
120,29,41912,3,6,Konya,Temel,1
121,34,56247,13,10,İzmir,Standart,1
122,51,78026,46,4,Adana,Temel,0
123,33,35829,9,4,İstanbul,Temel,1
124,34,38350,36,3,Bursa,Premium,0
125,34,40881,23,7,Bursa,Standart,1
126,34,39337,26,6,Antalya,Temel,1
127,29,39408,5,4,Konya,Temel,1
128,56,40914,15,4,İzmir,Temel,1
129,41,103597,44,3,Antalya,Standart,0
130,47,43123,20,7,İstanbul,Temel,1
131,60,114955,70,0,Adana,Premium,0
132,60,43273,58,1,Adana,Standart,0
133,41,61788,47,3,Bursa,Premium,0
134,54,83607,36,2,Ankara,Standart,0
135,45,91955,54,3,Bursa,Standart,0
136,59,42809,39,0,İzmir,Standart,0
137,45,55724,1,10,İstanbul,Temel,1
138,63,103338,50,3,İstanbul,Premium,0
139,28,40876,15,10,Adana,Temel,1
140,39,58758,29,4,Bursa,Temel,0
141,27,52241,4,5,Adana,Temel,1
142,37,49229,16,10,Antalya,Temel,1
143,32,55308,24,5,,Standart,1
144,50,82548,69,4,Ankara,Standart,0
145,39,54089,5,10,İzmir,Temel,1
146,54,46720,15,8,Adana,Standart,1
147,44,37306,25,9,Adana,Temel,1
148,48,88604,52,5,Bursa,Premium,0
149,32,103836,71,4,Ankara,Standart,0
150,52,51069,43,3,İstanbul,Temel,0
151,29,26903,16,7,Adana,Temel,1
152,25,43532,22,9,Adana,Premium,1
153,55,108912,12,4,Adana,Temel,0
154,42,67817,57,0,Ankara,Standart,0
155,69,51173,38,1,Ankara,Premium,0
156,23,41226,12,8,İstanbul,Temel,1
157,60,61600,20,1,Konya,Temel,0
158,35,54615,19,5,Adana,Temel,1
159,36,22615,26,10,Adana,Standart,1
160,28,95898,70,2,İzmir,Premium,0
161,51,70780,39,2,Bursa,Standart,0
162,30,69091,34,4,İzmir,Standart,0
163,42,40875,72,5,Ankara,Standart,0
164,67,44428,68,4,Konya,Premium,0
165,42,68162,48,2,İstanbul,Standart,0
166,67,55927,50,0,Adana,Premium,0
167,,24186,19,8,Ankara,Standart,1
168,44,92460,21,1,Antalya,Temel,0
169,47,107579,42,2,İzmir,Premium,0
170,54,76684,57,2,Bursa,Premium,0
171,33,67571,65,5,Bursa,Premium,0
172,59,85942,15,3,Antalya,Temel,0
173,43,39181,19,9,İzmir,Standart,1
174,34,52898,1,8,İstanbul,Standart,1
175,64,98852,68,5,Bursa,Standart,0
176,22,24438,10,10,İstanbul,Temel,1
177,32,88940,39,2,Adana,Premium,0
178,58,92935,47,5,Bursa,Premium,0
179,55,91492,70,2,İzmir,Temel,0
180,48,37473,12,4,İzmir,Premium,1
181,65,85012,13,3,Ankara,Standart,0
182,53,50015,52,1,Antalya,Premium,0
183,27,81713,25,1,İstanbul,Premium,0
184,55,35576,19,6,İstanbul,Standart,1
185,29,22185,9,5,Antalya,Premium,1
186,31,29204,22,3,İzmir,Temel,1
187,39,80437,11,1,İstanbul,Standart,0
188,57,52896,57,0,Konya,Standart,0
189,57,29146,15,6,Ankara,,1
190,66,106347,29,3,Ankara,Premium,0
191,50,48320,14,4,Bursa,Temel,1
192,25,43109,20,5,İzmir,Temel,1
193,61,109874,55,2,Antalya,Standart,0
194,53,104263,48,3,Adana,Temel,0
195,55,36091,14,10,Bursa,Standart,1
196,49,48131,14,4,İzmir,Temel,1
197,47,58006,53,3,Konya,Temel,0
198,47,28328,24,8,Antalya,Standart,1
199,55,43603,22,4,Konya,Temel,1
200,51,44743,71,2,İzmir,Premium,0
201,52,35942,5,10,Ankara,Temel,1
202,55,46088,4,7,Konya,Temel,1
203,59,110972,11,4,Konya,Premium,0
204,25,61647,27,5,İzmir,Premium,0
205,31,31388,19,9,Adana,Temel,1
206,25,50026,57,4,Bursa,Standart,0
207,34,86503,29,5,Antalya,Standart,0
208,27,58392,20,4,Ankara,Temel,0
209,47,53828,20,10,İstanbul,Temel,1
210,31,83242,37,0,Adana,Standart,0
211,57,78425,,1,Antalya,Standart,0
212,33,41753,7,5,İzmir,Standart,1
213,20,54596,24,9,Bursa,Temel,1
214,38,103570,45,5,Ankara,Premium,0
215,22,50588,1,10,Konya,Premium,1
216,47,48504,23,9,Bursa,Temel,1
217,40,33263,26,10,İzmir,Standart,1
218,26,37945,14,9,Bursa,Temel,1
219,45,67041,31,1,Adana,Temel,0
220,52,34707,25,8,Konya,Temel,1
221,33,68968,16,1,İstanbul,Standart,0
222,65,47876,21,5,Konya,Standart,0
223,61,96838,53,4,Antalya,Premium,0
224,40,31893,15,4,Adana,Temel,1
225,37,25681,12,4,Bursa,Temel,1
226,43,40813,3,4,Antalya,Standart,1
227,57,24688,15,6,Bursa,Temel,1
228,27,97050,16,2,Ankara,Premium,0
229,35,43130,25,5,Bursa,Standart,0
230,63,58807,33,2,Bursa,Premium,0
231,41,25431,26,8,Ankara,Temel,1
232,48,75243,26,5,Antalya,Premium,0
233,45,48682,47,5,İzmir,Temel,0
234,45,30450,20,4,Bursa,Temel,1
235,45,54750,52,5,Adana,Premium,0
236,57,50249,51,5,İzmir,Standart,0
237,39,33813,7,,Bursa,Premium,1
238,28,32154,3,7,Ankara,Standart,1
239,58,107013,12,5,Konya,Standart,0
240,62,87377,19,1,Adana,Standart,0
241,34,95366,12,3,Adana,Standart,0
242,48,40673,25,10,İstanbul,Temel,1
243,50,34715,12,10,İzmir,Temel,1
244,56,107135,36,1,Konya,Premium,0
245,40,44839,51,3,Antalya,Premium,0
246,69,105621,64,0,Konya,Standart,0
247,48,55643,5,9,İstanbul,Temel,1
248,46,41495,36,0,İzmir,Standart,0
249,25,46570,8,3,Ankara,Temel,1
250,65,81947,60,1,İzmir,Temel,0
251,54,56191,58,5,Antalya,Standart,0
252,25,23245,9,6,Antalya,Standart,1
253,62,107176,37,0,İstanbul,Premium,0
254,23,37626,14,10,Konya,Temel,1
255,62,108261,11,5,İstanbul,Standart,0
256,42,94261,10,4,Antalya,Standart,0
257,25,56307,12,4,Antalya,Premium,1
258,56,,11,3,Ankara,Premium,0
259,47,71246,57,0,Ankara,Standart,0
260,26,43791,5,3,İzmir,Temel,1
261,35,98899,72,5,İstanbul,Standart,0
262,28,97988,12,2,Konya,Standart,0
263,22,42682,10,9,Antalya,Premium,1
264,26,63048,28,2,Ankara,Premium,0
265,45,73811,17,2,Bursa,Standart,0
266,48,82438,72,1,Bursa,Standart,0
267,53,39479,26,4,Ankara,Standart,1
268,35,109496,28,2,İzmir,Temel,0
269,43,96447,48,5,Adana,Standart,0
270,52,43551,56,2,Bursa,Premium,0
271,23,26917,22,9,Konya,Temel,1
272,34,42081,19,4,Bursa,Premium,0
273,24,37466,25,8,Antalya,Temel,1
274,29,51486,12,8,Ankara,Temel,1
275,57,86096,35,2,İstanbul,Premium,0
276,25,62385,41,4,Antalya,Standart,0
277,36,51246,7,7,Bursa,Standart,1
278,28,26853,15,5,Bursa,Standart,1
279,67,79889,52,2,,Premium,0
280,43,58644,55,5,Adana,Premium,0
281,43,55341,8,4,Konya,Premium,1
282,51,23722,12,8,Antalya,Temel,1
283,25,26308,10,9,Adana,Premium,1
284,50,91665,62,4,İzmir,Temel,0
285,52,99057,53,4,Konya,Standart,0
286,64,61850,59,1,Konya,Standart,0
287,27,55954,5,7,İzmir,Temel,1
288,38,83353,70,4,Konya,Premium,0
289,32,39986,5,7,Ankara,Standart,1
290,34,114106,19,1,Adana,Premium,0
291,45,111874,12,0,Adana,Temel,0
292,40,65631,59,4,Adana,Standart,0
293,54,40983,21,7,Konya,Temel,1
294,,76985,39,0,İstanbul,Premium,0
295,54,98875,23,2,İzmir,Premium,0
296,44,83268,72,3,İzmir,Temel,0
297,30,79827,25,3,Bursa,Temel,0
298,26,25316,10,9,Bursa,Standart,1
299,30,43458,19,8,İstanbul,Temel,1
300,56,99186,41,2,Ankara,Standart,0
